Gene / product (bioentity_label)	Gene / product (bioentity_name)	Organism	Type	Source	Synonyms
URS0000AA527B_9823	Sus scrofa (pig) snoRNA (multiple genes)	Sus scrofa	snoRNA	RNAcentral	
URS0000EF2B50_9823	Sus scrofa (pig) snoRNA (ENSSSCG00070001174.1)	Sus scrofa	snoRNA	RNAcentral	
URS00019721F9_9823	Sus scrofa (pig) U6 spliceosomal RNA (ENSSSCG00005026666.1)	Sus scrofa	snRNA	RNAcentral	
URS0001963992_9823	Sus scrofa (pig) lncRNA (ENSSSCG00030070772.1)	Sus scrofa	gene_product	RNAcentral	
URS000194C884_9823	Sus scrofa (pig) U2 spliceosomal RNA (ENSSSCG00050065007.1)	Sus scrofa	snRNA	RNAcentral	
URS00025F8452_9823	Sus scrofa (pig) lncRNA (ENSSSCG00000053028.1)	Sus scrofa	gene_product	RNAcentral	
URS0001970367_9823	Sus scrofa (pig) lncRNA (ENSSSCG00030062541.1)	Sus scrofa	gene_product	RNAcentral	
URS0000719F00_9823	Sus scrofa (pig) U6 spliceosomal RNA (multiple genes)	Sus scrofa	snRNA	RNAcentral	
URS000197B6AA_9823	Sus scrofa (pig) lncRNA (ENSSSCG00030043504.1)	Sus scrofa	gene_product	RNAcentral	
URS000196A2AC_9823	Sus scrofa (pig) lncRNA (ENSSSCG00040015958.1)	Sus scrofa	gene_product	RNAcentral	
URS00002D7BB5_9823	Sus scrofa tRNA-Arg (CCT) (tRNA-Arg-CCT-1-1, tRNA-Arg-CCT-1-2)	Sus scrofa	tRNA	RNAcentral	
URS000196D6E0_9823	Sus scrofa (pig) lncRNA (ENSSSCG00055007835.1)	Sus scrofa	gene_product	RNAcentral	
URS0000A7D19E_9823	Sus scrofa (pig) U6 spliceosomal RNA (multiple genes)	Sus scrofa	snRNA	RNAcentral	
URS0000636E2A_9823	Sus scrofa tRNA-Tyr (GTA) (tRNA-Tyr-GTA-3-1)	Sus scrofa	tRNA	RNAcentral	
URS0000AA8293_9823	Sus scrofa (pig) U6 spliceosomal RNA (multiple genes)	Sus scrofa	snRNA	RNAcentral	
URS000195CB69_9823	Sus scrofa (pig) lncRNA (ENSSSCG00065006159.1)	Sus scrofa	gene_product	RNAcentral	
URS0001963D6F_9823	Sus scrofa (pig) snoRNA (ENSSSCG00015073091.1, ENSSSCG00030016977.1)	Sus scrofa	snoRNA	RNAcentral	
URS0000AB0BCA_9823	Sus scrofa (pig) snoRNA (multiple genes)	Sus scrofa	snoRNA	RNAcentral	
URS0000C7D7E8_9823	Sus scrofa (pig) U6 spliceosomal RNA (ENSSSCG00030049033.1, ENSSSCG00045038604.1, ENSSSCG00055013914.1)	Sus scrofa	snRNA	RNAcentral	
URS000094863F_9823	Sus scrofa (pig) Metazoan signal recognition particle RNA (multiple genes)	Sus scrofa	SRP_RNA	RNAcentral	
URS000194FDC3_9823	Sus scrofa (pig) lncRNA (ENSSSCG00045024971.1)	Sus scrofa	gene_product	RNAcentral	
URS0001962812_9823	Sus scrofa (pig) U6 spliceosomal RNA (ENSSSCG00050075201.1, ENSSSCG00060068950.1, ENSSSCG00065049540.1)	Sus scrofa	snRNA	RNAcentral	
URS0001974971_9823	Sus scrofa (pig) U1 spliceosomal RNA (ENSSSCG00025065601.1)	Sus scrofa	snRNA	RNAcentral	
URS00000FB60D_9823	Sus scrofa tRNA-Leu (CAG) (tRNA-Leu-CAG-2 1 to 3)	Sus scrofa	tRNA	RNAcentral	
URS00019546A1_9823	Sus scrofa (pig) snoRNA (ENSSSCG00005000635.1)	Sus scrofa	snoRNA	RNAcentral	
URS000015656B_9823	Sus scrofa (pig) tRNA-Cys	Sus scrofa	tRNA	RNAcentral	
URS0001968610_9823	Sus scrofa (pig) snoRNA (ENSSSCG00060002983.1)	Sus scrofa	snoRNA	RNAcentral	
URS0000C259BD_9823	Sus scrofa (pig) U6 spliceosomal RNA (ENSSSCG00000018241.3, ENSSSCG00025010904.1, ENSSSCG00030051016.1, ENSSSCG00035040394.1)	Sus scrofa	snRNA	RNAcentral	
URS0000EF22FA_9823	Sus scrofa (pig) U6 spliceosomal RNA (multiple genes)	Sus scrofa	snRNA	RNAcentral	
URS0000BD0DB7_9823	Sus scrofa (pig) U6 spliceosomal RNA (ENSSSCG00000018312.2, ENSSSCG00035066673.1, ENSSSCG00055010556.1)	Sus scrofa	snRNA	RNAcentral	
URS0000A7E042_9823	Sus scrofa (pig) U6 spliceosomal RNA (multiple genes)	Sus scrofa	snRNA	RNAcentral	
URS000197C34A_9823	Sus scrofa (pig) U6 spliceosomal RNA (ENSSSCG00015057430.1, ENSSSCG00025062454.1, ENSSSCG00060006221.1)	Sus scrofa	snRNA	RNAcentral	
URS0000A9EBC9_9823	Sus scrofa (pig) U6 spliceosomal RNA (multiple genes)	Sus scrofa	snRNA	RNAcentral	
URS0000EF67C7_9823	Sus scrofa (pig) Small nucleolar RNA SNORD116 (ENSSSCG00070010674.1)	Sus scrofa	snoRNA	RNAcentral	
URS0000D52ACF_9823	Sus scrofa (pig) microRNA ssc-mir-34a precursor	Sus scrofa	gene_product	RNAcentral	
URS000197A3CD_9823	Sus scrofa (pig) U6 spliceosomal RNA (ENSSSCG00015015931.1, ENSSSCG00040014602.1, ENSSSCG00060062696.1)	Sus scrofa	snRNA	RNAcentral	
URS000196872F_9823	Sus scrofa (pig) U2 spliceosomal RNA (multiple genes)	Sus scrofa	snRNA	RNAcentral	
URS000075B910_9823	Sus scrofa (pig) microRNA ssc-mir-335 precursor	Sus scrofa	gene_product	RNAcentral	
URS00019571AF_9823	Sus scrofa (pig) snoRNA (ENSSSCG00055014047.1, ENSSSCG00060072121.1)	Sus scrofa	snoRNA	RNAcentral	
URS0000EEC4B9_9823	Sus scrofa (pig) lncRNA (ENSSSCG00070008838.1)	Sus scrofa	gene_product	RNAcentral	
URS0000A82BAA_9823	Sus scrofa (pig) 5S ribosomal RNA (ENSSSCG00070029946.1)	Sus scrofa	rRNA	RNAcentral	
URS00019715D3_9823	Sus scrofa (pig) lncRNA (ENSSSCG00055024163.1)	Sus scrofa	gene_product	RNAcentral	
URS000075B629_9823	Sus scrofa (pig) microRNA 133a-1 (multiple genes)	Sus scrofa	gene_product	RNAcentral	
URS000196F9E1_9823	Sus scrofa (pig) U2 spliceosomal RNA (ENSSSCG00060040755.1)	Sus scrofa	snRNA	RNAcentral	
URS0000BE094D_9823	Sus scrofa (pig) U6 spliceosomal RNA (ENSSSCG00000034543.1)	Sus scrofa	snRNA	RNAcentral	
URS0000AA7B3C_9823	Sus scrofa (pig) U6 spliceosomal RNA (ENSSSCG00070017417.1)	Sus scrofa	snRNA	RNAcentral	
URS00004F1376_9823	Sus scrofa (pig) tRNA (ENSSSCG00000018073.1, ENSSSCG00070030633.1)	Sus scrofa	tRNA	RNAcentral	
URS00000AE3A0_9823	Sus scrofa (pig) tRNA-Gln	Sus scrofa	tRNA	RNAcentral	
URS0000A98294_9823	Sus scrofa (pig) U6 spliceosomal RNA (ENSSSCG00070012131.1)	Sus scrofa	snRNA	RNAcentral	
URS0001960F81_9823	Sus scrofa (pig) U1 spliceosomal RNA (ENSSSCG00025046651.1)	Sus scrofa	snRNA	RNAcentral	
URS0000AA15CD_9823	Sus scrofa (pig) Small nucleolar RNA SNORD73 (multiple genes)	Sus scrofa	snoRNA	RNAcentral	
URS000196BBD7_9823	Sus scrofa (pig) U1 spliceosomal RNA (ENSSSCG00005037269.1, ENSSSCG00050054585.1)	Sus scrofa	snRNA	RNAcentral	
URS0000AAD159_9823	Sus scrofa (pig) U6 spliceosomal RNA (multiple genes)	Sus scrofa	snRNA	RNAcentral	
URS000197298D_9823	Sus scrofa (pig) U1 spliceosomal RNA (ENSSSCG00015046855.1, ENSSSCG00035074738.1)	Sus scrofa	snRNA	RNAcentral	
URS000195C18D_9823	Sus scrofa (pig) Small nucleolar RNA U3 (ENSSSCG00005016729.1)	Sus scrofa	snoRNA	RNAcentral	
URS000080D2AA_9823	Sus scrofa (pig) 12S ribosomal RNA	Sus scrofa	rRNA	RNAcentral	
URS00000876D7_9823	Sus scrofa (pig) tRNA-Ile	Sus scrofa	tRNA	RNAcentral	
URS000197B7BB_9823	Sus scrofa (pig) lncRNA (ENSSSCG00040048002.1)	Sus scrofa	gene_product	RNAcentral	
URS000195ABDF_9823	Sus scrofa (pig) scRNA (ENSSSCG00005042720.1, ENSSSCG00050059429.1)	Sus scrofa	snoRNA	RNAcentral	
URS00004450D5_9823	Sus scrofa (pig) tRNA-Ala	Sus scrofa	tRNA	RNAcentral	
URS000195CF61_9823	Sus scrofa (pig) lncRNA (ENSSSCG00040029845.1)	Sus scrofa	gene_product	RNAcentral	
URS0000480271_9823	Sus scrofa (pig) 16S ribosomal RNA	Sus scrofa	rRNA	RNAcentral	
URS000196FDB6_9823	Sus scrofa (pig) lncRNA (ENSSSCG00015069794.1)	Sus scrofa	gene_product	RNAcentral	
URS00006A0D81_9823	Sus scrofa (pig) sRNA (ENSSSCG00070028156.1)	Sus scrofa	gene_product	RNAcentral	
URS000194DE03_9823	Sus scrofa (pig) snoRNA (ENSSSCG00015034646.1)	Sus scrofa	snoRNA	RNAcentral	
URS0000AA312B_9823	Sus scrofa (pig) U6 spliceosomal RNA (multiple genes)	Sus scrofa	snRNA	RNAcentral	
URS0000EF6222_9823	Sus scrofa (pig) lncRNA (ENSSSCG00070028133.1)	Sus scrofa	gene_product	RNAcentral	
URS0000BFFF74_9823	Sus scrofa tRNA-Glu (TTC) (tRNA-Glu-TTC-16-1)	Sus scrofa	tRNA	RNAcentral	
URS00007FA2A8_9823	Sus scrofa (pig) 12S ribosomal RNA	Sus scrofa	rRNA	RNAcentral	
URS000196F96F_9823	Sus scrofa (pig) U6 spliceosomal RNA (ENSSSCG00030011556.1)	Sus scrofa	snRNA	RNAcentral	
URS0000BDE047_9823	Sus scrofa (pig) U6 spliceosomal RNA (multiple genes)	Sus scrofa	snRNA	RNAcentral	
URS0000BCC8F8_9823	Sus scrofa (pig) U6 spliceosomal RNA (ENSSSCG00000036370.1, ENSSSCG00015080964.1, ENSSSCG00055022408.1)	Sus scrofa	snRNA	RNAcentral	
URS0000EEF8A8_9823	Sus scrofa (pig) sRNA (ENSSSCG00070030010.1)	Sus scrofa	gene_product	RNAcentral	
URS000075B465_9823	Sus scrofa (pig) microRNA ssc-mir-339 precursor (ssc-mir-339-1)	Sus scrofa	gene_product	RNAcentral	
URS0000A99CCA_9823	Sus scrofa (pig) U6 spliceosomal RNA (multiple genes)	Sus scrofa	snRNA	RNAcentral	
URS0000EEC767_9823	Sus scrofa (pig) lncRNA (ENSSSCG00070016026.1)	Sus scrofa	gene_product	RNAcentral	
URS0000B34A7D_9823	Sus scrofa (pig) miRNA (multiple genes)	Sus scrofa	gene_product	RNAcentral	
URS0000759F25_9823	Sus scrofa (pig) microRNA ssc-mir-19b precursor (ssc-mir-19b-1)	Sus scrofa	gene_product	RNAcentral	
URS0000BD0EC8_9823	Sus scrofa (pig) Small nucleolar RNA SNORA70 (multiple genes)	Sus scrofa	snoRNA	RNAcentral	
URS0000AA78A1_9823	Sus scrofa (pig) snoRNA (multiple genes)	Sus scrofa	snoRNA	RNAcentral	
URS0000EF1741_9823	Sus scrofa (pig) sRNA (ENSSSCG00070029736.1)	Sus scrofa	gene_product	RNAcentral	
URS0000C77955_9823	Sus scrofa (pig) U2 spliceosomal RNA (ENSSSCG00000045188.1, ENSSSCG00065026560.1)	Sus scrofa	snRNA	RNAcentral	
URS00025F30DC_9823	Sus scrofa (pig) lncRNA (ENSSSCG00000050499.2)	Sus scrofa	gene_product	RNAcentral	
