Gene / product (bioentity_label)	Gene / product (bioentity_name)	Organism	Type	Source	Synonyms
CLCN2	Chloride channel protein 2	Sus scrofa	protein	UniProtKB	
STX5	t-SNARE coiled-coil homology domain-containing protein	Sus scrofa	protein	UniProtKB	
RHOQ	Rho-related GTP-binding protein RhoQ	Sus scrofa	protein	UniProtKB	
SUCLG2	Succinate--CoA ligase [GDP-forming] subunit beta, mitochondrial	Sus scrofa	protein	UniProtKB	
FRAT2	GSK-3-binding protein FRAT2	Sus scrofa	protein	UniProtKB	
PCOLCE2	Procollagen C-endopeptidase enhancer 2	Sus scrofa	protein	UniProtKB	
U2SURP	U2 snRNP-associated SURP motif-containing protein	Sus scrofa	protein	UniProtKB	
SLC16A9	MFS domain-containing protein	Sus scrofa	protein	UniProtKB	
ARHGEF33	DH domain-containing protein	Sus scrofa	protein	UniProtKB	
PLOD2	procollagen-lysine 5-dioxygenase	Sus scrofa	protein	UniProtKB	
NGF	Beta-nerve growth factor	Sus scrofa	protein	UniProtKB	
PRRG3	Gla domain-containing protein	Sus scrofa	protein	UniProtKB	
PSMD12	PCI domain-containing protein	Sus scrofa	protein	UniProtKB	
RBM46	Probable RNA-binding protein 46	Sus scrofa	protein	UniProtKB	
TNIK	TRAF2 and NCK-interacting protein kinase	Sus scrofa	protein	UniProtKB	
SNAP25	Multifunctional fusion protein	Sus scrofa	protein	UniProtKB	
ATP23	Mitochondrial inner membrane protease ATP23	Sus scrofa	protein	UniProtKB	
MCL1	BCL domain-containing protein	Sus scrofa	protein	UniProtKB	
LOC100522850	Olfactory receptor	Sus scrofa	protein	UniProtKB	
SLC16A7	Monocarboxylate transporter 2	Sus scrofa	protein	UniProtKB	
MAFG	Transcription factor MafG	Sus scrofa	protein	UniProtKB	
CERS6	Ceramide synthase 6	Sus scrofa	protein	UniProtKB	
VLDLR	Very low-density lipoprotein receptor	Sus scrofa	protein	UniProtKB	
ZIC1	Zinc finger protein of the cerebellum 1	Sus scrofa	protein	UniProtKB	
GCSH	Glycine cleavage system H protein	Sus scrofa	protein	UniProtKB	
CPB1	Carboxypeptidase B	Sus scrofa	protein	UniProtKB	
ATP1A4	Sodium/potassium-transporting ATPase subunit alpha	Sus scrofa	protein	UniProtKB	
MAMLD1	Mastermind-like domain-containing protein 1	Sus scrofa	protein	UniProtKB	
NEGR1	Neuronal growth regulator 1	Sus scrofa	protein	UniProtKB	
RXYLT1	Transmembrane protein 5	Sus scrofa	protein	UniProtKB	
TMEM175	Endosomal/lysosomal potassium channel TMEM175	Sus scrofa	protein	UniProtKB	
VPS4B	vesicle-fusing ATPase	Sus scrofa	protein	UniProtKB	
RGS2	Regulator of G-protein signaling 2	Sus scrofa	protein	UniProtKB	
HEYL	Hairy/enhancer-of-split related with YRPW motif-like protein	Sus scrofa	protein	UniProtKB	
COPB1	Coatomer subunit beta	Sus scrofa	protein	UniProtKB	
MMUT	Methylmalonyl-CoA mutase, mitochondrial	Sus scrofa	protein	UniProtKB	
TRIB2	Protein kinase domain-containing protein	Sus scrofa	protein	UniProtKB	
NAV2	Calponin-homology (CH) domain-containing protein	Sus scrofa	protein	UniProtKB	
RHNO1	RAD9-HUS1-RAD1 interacting nuclear orphan 1	Sus scrofa	protein	UniProtKB	
HSDL2	SCP2 domain-containing protein	Sus scrofa	protein	UniProtKB	
WARS1	Tryptophan--tRNA ligase, cytoplasmic	Sus scrofa	protein	UniProtKB	
TIMP1	Metalloproteinase inhibitor 1	Sus scrofa	protein	UniProtKB	
COL6A6	Collagen alpha-5(VI) chain	Sus scrofa	protein	UniProtKB	
ID4	BHLH domain-containing protein	Sus scrofa	protein	UniProtKB	
NOX3	FAD-binding FR-type domain-containing protein	Sus scrofa	protein	UniProtKB	
TXN	Thioredoxin	Sus scrofa	protein	UniProtKB	
LOC100514909	G_PROTEIN_RECEP_F1_2 domain-containing protein	Sus scrofa	protein	UniProtKB	
BRF1	Transcription factor IIIB 90 kDa subunit	Sus scrofa	protein	UniProtKB	
HBM	GLOBIN domain-containing protein	Sus scrofa	protein	UniProtKB	
OR6M1	Olfactory receptor	Sus scrofa	protein	UniProtKB	
LOC100737025	Olfactory receptor	Sus scrofa	protein	UniProtKB	
ANPEP	Aminopeptidase N	Sus scrofa	protein	UniProtKB	
RAD51	DNA repair protein RAD51 homolog	Sus scrofa	protein	UniProtKB	pigRAD51
TLR4	TIR domain-containing protein	Sus scrofa	protein	UniProtKB	
MEGF8	MEGF8	Sus scrofa	protein	UniProtKB	
RNF220	RING-type domain-containing protein	Sus scrofa	protein	UniProtKB	
MYH11	Myosin-11	Sus scrofa	protein	UniProtKB	
Sox2	HMG box domain-containing protein	Sus scrofa	protein	UniProtKB	
BLNK	SH2 domain-containing protein	Sus scrofa	protein	UniProtKB	
LOC106508617	Olfactory receptor	Sus scrofa	protein	UniProtKB	
STX10	t-SNARE coiled-coil homology domain-containing protein	Sus scrofa	protein	UniProtKB	
NUDT2	Bis(5'-nucleosyl)-tetraphosphatase [asymmetrical]	Sus scrofa	protein	UniProtKB	APAH1
GALNT4	Polypeptide N-acetylgalactosaminyltransferase	Sus scrofa	protein	UniProtKB	
LOC110257908	HSF_DOMAIN domain-containing protein	Sus scrofa	protein	UniProtKB	LOC110257907
PSMC2	26S proteasome regulatory subunit 7	Sus scrofa	protein	UniProtKB	
TAGAP	Rho-GAP domain-containing protein	Sus scrofa	protein	UniProtKB	
SEC61G	Protein transport protein Sec61 subunit gamma	Sus scrofa	protein	UniProtKB	
AGMO	Fatty acid hydroxylase domain-containing protein	Sus scrofa	protein	UniProtKB	
PPP2R1B	Protein phosphatase 2 scaffold subunit Abeta	Sus scrofa	protein	UniProtKB	
GTSF1L	Gametocyte specific factor 1 like	Sus scrofa	protein	UniProtKB	
MAPK3	Mitogen-activated protein kinase	Sus scrofa	protein	UniProtKB	
A0A5G2R160	KRAB domain-containing protein	Sus scrofa	protein	UniProtKB	
EMR4	Adhesion G protein-coupled receptor E4	Sus scrofa	protein	UniProtKB	
BOD1	Biorientation of chromosomes in cell division protein 1	Sus scrofa	protein	UniProtKB	
STC2	Stanniocalcin-2	Sus scrofa	protein	UniProtKB	
LOC100513843	Olfactory receptor	Sus scrofa	protein	UniProtKB	
SFXN5	Sidoreflexin	Sus scrofa	protein	UniProtKB	
A0A5G2R0T3	Secreted protein	Sus scrofa	protein	UniProtKB	
LOC100154552	Olfactory receptor	Sus scrofa	protein	UniProtKB	
LOC100624524	Olfactory receptor	Sus scrofa	protein	UniProtKB	
NPPA	Natriuretic peptides A	Sus scrofa	protein	UniProtKB	
TNFRSF21	Tumor necrosis factor receptor superfamily member 21	Sus scrofa	protein	UniProtKB	
LOC100514032	Olfactory receptor	Sus scrofa	protein	UniProtKB	
BNIP1	Vesicle transport protein SEC20	Sus scrofa	protein	UniProtKB	
CREBRF	BZIP domain-containing protein	Sus scrofa	protein	UniProtKB	
BTBD18	BTB domain-containing protein	Sus scrofa	protein	UniProtKB	
MED19	Mediator of RNA polymerase II transcription subunit 19	Sus scrofa	protein	UniProtKB	
PLCB1	1-phosphatidylinositol 4,5-bisphosphate phosphodiesterase	Sus scrofa	protein	UniProtKB	
HPN	Peptidase S1 domain-containing protein	Sus scrofa	protein	UniProtKB	
SLC44A5	Choline transporter-like protein	Sus scrofa	protein	UniProtKB	
RS1	F5/8 type C domain-containing protein	Sus scrofa	protein	UniProtKB	
TNFRSF1A	Tumor necrosis factor receptor superfamily member 1A	Sus scrofa	protein	UniProtKB	TNFR1
SLC22A3	MFS domain-containing protein	Sus scrofa	protein	UniProtKB	
COG5	Conserved oligomeric Golgi complex subunit 5	Sus scrofa	protein	UniProtKB	
CD164	CD164 molecule	Sus scrofa	protein	UniProtKB	
ATAT1	Alpha-tubulin N-acetyltransferase 1	Sus scrofa	protein	UniProtKB	MEC17
F1SB89	60S ribosomal protein L19	Sus scrofa	protein	UniProtKB	
NRIP2	Asp_protease domain-containing protein	Sus scrofa	protein	UniProtKB	
DCBLD2	Discoidin, CUB and LCCL domain containing 2	Sus scrofa	protein	UniProtKB	
CPOX	coproporphyrinogen oxidase	Sus scrofa	protein	UniProtKB	
GPR15	G_PROTEIN_RECEP_F1_2 domain-containing protein	Sus scrofa	protein	UniProtKB	
CLDND1	Claudin domain containing 1	Sus scrofa	protein	UniProtKB	
TMEM266	Transmembrane protein 266	Sus scrofa	protein	UniProtKB	
FZD4	malic domain-containing protein	Sus scrofa	protein	UniProtKB	
NUDT5	Nudix hydrolase domain-containing protein	Sus scrofa	protein	UniProtKB	
ACP7	Purple acid phosphatase	Sus scrofa	protein	UniProtKB	
EIF4H	Eukaryotic translation initiation factor 4H	Sus scrofa	protein	UniProtKB	
MYLK4	Protein kinase domain-containing protein	Sus scrofa	protein	UniProtKB	
SERPING1	SERPIN domain-containing protein	Sus scrofa	protein	UniProtKB	
ITFG2	Integrin-alpha FG-GAP repeat-containing protein 2	Sus scrofa	protein	UniProtKB	
DDX11	Helicase ATP-binding domain-containing protein	Sus scrofa	protein	UniProtKB	
IQSEC3	SEC7 domain-containing protein	Sus scrofa	protein	UniProtKB	
CFAP95	Protein C9orf135 homolog	Sus scrofa	protein	UniProtKB	C1H9orf135
SELENOK	Selenoprotein K	Sus scrofa	protein	UniProtKB	
PPP1R12C	Protein phosphatase 1 regulatory subunit	Sus scrofa	protein	UniProtKB	
ASF1B	Anti-silencing function 1B histone chaperone	Sus scrofa	protein	UniProtKB	
TMX3	Thioredoxin domain-containing protein	Sus scrofa	protein	UniProtKB	
TSEN15	Sen15 domain-containing protein	Sus scrofa	protein	UniProtKB	
BAP1	Ubiquitin carboxyl-terminal hydrolase	Sus scrofa	protein	UniProtKB	
RBBP6	E3 ubiquitin-protein ligase RBBP6	Sus scrofa	protein	UniProtKB	
OR5K4	Olfactory receptor	Sus scrofa	protein	UniProtKB	
LOC110256239	Olfactory receptor	Sus scrofa	protein	UniProtKB	
LOC100514252	Olfactory receptor	Sus scrofa	protein	UniProtKB	
EEF2KMT	FAM86 domain-containing protein	Sus scrofa	protein	UniProtKB	
BUD13	BUD13 homolog	Sus scrofa	protein	UniProtKB	
NECAB3	N-terminal EF-hand calcium-binding protein 3	Sus scrofa	protein	UniProtKB	
SNX17	Sorting nexin-17	Sus scrofa	protein	UniProtKB	
EIF6	Eukaryotic translation initiation factor 6	Sus scrofa	protein	UniProtKB	ITGB4BP
DMKN	Dermokine	Sus scrofa	protein	UniProtKB	
A0A5G2R112	BPTI/Kunitz inhibitor domain-containing protein	Sus scrofa	protein	UniProtKB	
CIITA	NACHT domain-containing protein	Sus scrofa	protein	UniProtKB	
SOCS1	Suppressor of cytokine signaling 1	Sus scrofa	protein	UniProtKB	
PHF21B	PHD-type domain-containing protein	Sus scrofa	protein	UniProtKB	
stat5B	Signal transducer and activator of transcription	Sus scrofa	protein	UniProtKB	
PARVG	Calponin-homology (CH) domain-containing protein	Sus scrofa	protein	UniProtKB	
DNAJC30	J domain-containing protein	Sus scrofa	protein	UniProtKB	
F1SJU0	EF-hand domain-containing protein	Sus scrofa	protein	UniProtKB	
MUCL3	Diffuse panbronchiolitis critical region protein 1	Sus scrofa	protein	UniProtKB	
HAGH	Lactamase_B domain-containing protein	Sus scrofa	protein	UniProtKB	
WDCP	WD repeat and coiled-coil-containing protein	Sus scrofa	protein	UniProtKB	
C10H9orf24	Spermatid-specific manchette-related protein 1	Sus scrofa	protein	UniProtKB	C9orf24
WDR1	WD repeat-containing protein 1	Sus scrofa	protein	UniProtKB	
SYT5	Synaptotagmin-5	Sus scrofa	protein	UniProtKB	
EXOG	Exo/endonuclease G	Sus scrofa	protein	UniProtKB	
ZNF773	Zinc finger protein 773	Sus scrofa	protein	UniProtKB	
DDIT3	DNA damage-inducible transcript 3 protein	Sus scrofa	protein	UniProtKB	
MTDH	Metadherin	Sus scrofa	protein	UniProtKB	
REG3G	C-type lectin domain-containing protein	Sus scrofa	protein	UniProtKB	
LOC110257954	HSF_DOMAIN domain-containing protein	Sus scrofa	protein	UniProtKB	
LOX	Protein-lysine 6-oxidase	Sus scrofa	protein	UniProtKB	
INSL6	IlGF domain-containing protein	Sus scrofa	protein	UniProtKB	
PLPP6	acidPPc domain-containing protein	Sus scrofa	protein	UniProtKB	
SLC1A1	Amino acid transporter	Sus scrofa	protein	UniProtKB	
LOC100511639	Ig-like domain-containing protein	Sus scrofa	protein	UniProtKB	
PF4	Platelet factor 4	Sus scrofa	protein	UniProtKB	CXCL4|SCYB4
HSD17B1	Estradiol 17-beta-dehydrogenase	Sus scrofa	protein	UniProtKB	
LIG1	DNA ligase	Sus scrofa	protein	UniProtKB	
SOX18	Transcription factor SOX-18	Sus scrofa	protein	UniProtKB	
TSPO	Translocator protein	Sus scrofa	protein	UniProtKB	
ARFGAP3	Arf-GAP domain-containing protein	Sus scrofa	protein	UniProtKB	
CSRNP1	CSRNP_N domain-containing protein	Sus scrofa	protein	UniProtKB	
ESYT1	Extended synaptotagmin-1	Sus scrofa	protein	UniProtKB	
PDE1C	Phosphodiesterase	Sus scrofa	protein	UniProtKB	
THAP7	THAP-type domain-containing protein	Sus scrofa	protein	UniProtKB	
TENM2	Teneurin-2	Sus scrofa	protein	UniProtKB	
NEDD4L	HECT-type E3 ubiquitin transferase	Sus scrofa	protein	UniProtKB	
A0A5G2R0L0	Ovule protein	Sus scrofa	protein	UniProtKB	
BDP1	Myb-like domain-containing protein	Sus scrofa	protein	UniProtKB	
RPL14	60S ribosomal protein L14	Sus scrofa	protein	UniProtKB	
FANCI	Fanconi anemia group I protein	Sus scrofa	protein	UniProtKB	
POLG	DNA polymerase subunit gamma-1	Sus scrofa	protein	UniProtKB	
F1SJQ2	GRAM domain-containing protein	Sus scrofa	protein	UniProtKB	
RHCG	Ammonium_transp domain-containing protein	Sus scrofa	protein	UniProtKB	
TICRR	Treslin_N domain-containing protein	Sus scrofa	protein	UniProtKB	
REN	renin	Sus scrofa	protein	UniProtKB	
A0A5G2R0K2	Uncharacterized protein	Sus scrofa	protein	UniProtKB	
LOC110259901	Olfactory receptor	Sus scrofa	protein	UniProtKB	
PLIN1	Perilipin 1	Sus scrofa	protein	UniProtKB	
PEX11A	Peroxisomal membrane protein 11A	Sus scrofa	protein	UniProtKB	
ZNF366	Zinc finger protein 366	Sus scrofa	protein	UniProtKB	
PMP22	Peripheral myelin protein 22	Sus scrofa	protein	UniProtKB	
A0A5G2R0J5	Tripartite motif-containing protein 77-like	Sus scrofa	protein	UniProtKB	
ETV3	ETS translocation variant 3	Sus scrofa	protein	UniProtKB	
H2BL1	Histone domain-containing protein	Sus scrofa	protein	UniProtKB	LOC100519930
NSG2	Neuron-specific protein family member 2	Sus scrofa	protein	UniProtKB	
WDR93	WD repeat-containing protein 93	Sus scrofa	protein	UniProtKB	
MESP1	Mesoderm posterior bHLH transcription factor 1	Sus scrofa	protein	UniProtKB	
MESP2	BHLH domain-containing protein	Sus scrofa	protein	UniProtKB	
ADGRB3	Adhesion G protein-coupled receptor B3	Sus scrofa	protein	UniProtKB	
ATG5	Autophagy protein 5	Sus scrofa	protein	UniProtKB	
ORM1	Lipocln_cytosolic_FA-bd_dom domain-containing protein	Sus scrofa	protein	UniProtKB	
ITGA4	Integrin_alpha2 domain-containing protein	Sus scrofa	protein	UniProtKB	
P2RY14	G_PROTEIN_RECEP_F1_2 domain-containing protein	Sus scrofa	protein	UniProtKB	
FBXO3	F-box only protein 3	Sus scrofa	protein	UniProtKB	
GCAT	Aminotran_1_2 domain-containing protein	Sus scrofa	protein	UniProtKB	
SLC27A4	Solute carrier family 27 member 4	Sus scrofa	protein	UniProtKB	
LOC110258725	Olfactory receptor	Sus scrofa	protein	UniProtKB	
DKK3	Dickkopf_N domain-containing protein	Sus scrofa	protein	UniProtKB	
MRC1	MRC1 protein	Sus scrofa	protein	UniProtKB	
YY1	Transcriptional repressor protein YY1	Sus scrofa	protein	UniProtKB	
SLC7A5	Large neutral amino acids transporter small subunit 1	Sus scrofa	protein	UniProtKB	
IGSF10	Immunoglobulin superfamily member 10	Sus scrofa	protein	UniProtKB	
P2RY1	P2Y purinoceptor 1	Sus scrofa	protein	UniProtKB	
PTX3	Pentraxin-related protein PTX3	Sus scrofa	protein	UniProtKB	
ENPEP	Aminopeptidase	Sus scrofa	protein	UniProtKB	
XAB2	XPA binding protein 2	Sus scrofa	protein	UniProtKB	
SDS	L-serine ammonia-lyase	Sus scrofa	protein	UniProtKB	
PDCD7	Programmed cell death 7	Sus scrofa	protein	UniProtKB	
PARP16	Poly [ADP-ribose] polymerase	Sus scrofa	protein	UniProtKB	
IGDCC3	Immunoglobulin superfamily DCC subclass member 3	Sus scrofa	protein	UniProtKB	
ADK	Adenosine kinase	Sus scrofa	protein	UniProtKB	
CISH	Cytokine-inducible SH2-containing protein	Sus scrofa	protein	UniProtKB	CISH_tv2
DPP8	Dipeptidyl peptidase 8	Sus scrofa	protein	UniProtKB	
HACD3	Very-long-chain (3R)-3-hydroxyacyl-CoA dehydratase	Sus scrofa	protein	UniProtKB	
LOC100518622	Olfactory receptor	Sus scrofa	protein	UniProtKB	
TAF1	Transcription initiation factor TFIID subunit	Sus scrofa	protein	UniProtKB	
MAN2B1	Alpha-mannosidase	Sus scrofa	protein	UniProtKB	
CYP4V2	Cytochrome	Sus scrofa	protein	UniProtKB	
DIS3L	DIS3-like exonuclease 1	Sus scrofa	protein	UniProtKB	
TIPIN	TIMELESS-interacting protein	Sus scrofa	protein	UniProtKB	
LCTL	Lactase-like protein	Sus scrofa	protein	UniProtKB	
SMAD6	Mothers against decapentaplegic homolog	Sus scrofa	protein	UniProtKB	
GPR20	G_PROTEIN_RECEP_F1_2 domain-containing protein	Sus scrofa	protein	UniProtKB	
I3LP88	Ferritin	Sus scrofa	protein	UniProtKB	
RBM44	RRM domain-containing protein	Sus scrofa	protein	UniProtKB	
ESPNL	Espin like	Sus scrofa	protein	UniProtKB	
GTF2H5	General transcription and DNA repair factor IIH subunit TFB5	Sus scrofa	protein	UniProtKB	
SKOR1	c-SKI_SMAD_bind domain-containing protein	Sus scrofa	protein	UniProtKB	
CLN6	Ceroid-lipofuscinosis neuronal protein 6	Sus scrofa	protein	UniProtKB	
CORO2B	Coronin	Sus scrofa	protein	UniProtKB	
DAZAP2	DAZ-associated protein 2	Sus scrofa	protein	UniProtKB	
IRF6	IRF tryptophan pentad repeat domain-containing protein	Sus scrofa	protein	UniProtKB	
A0A5G2R0B8	Olfactory receptor	Sus scrofa	protein	UniProtKB	
AKR1C3	Aldo_ket_red domain-containing protein	Sus scrofa	protein	UniProtKB	
YAF2	RanBP2-type domain-containing protein	Sus scrofa	protein	UniProtKB	
HK1	hexokinase	Sus scrofa	protein	UniProtKB	
PUM3	PUM-HD domain-containing protein	Sus scrofa	protein	UniProtKB	
KCNV2	Potassium voltage-gated channel subfamily V member 2	Sus scrofa	protein	UniProtKB	
ELF2	ETS domain-containing protein	Sus scrofa	protein	UniProtKB	
ARHGDIA	Rho GDP-dissociation inhibitor 1	Sus scrofa	protein	UniProtKB	
EBF4	IPT/TIG domain-containing protein	Sus scrofa	protein	UniProtKB	
A0A5G2R0A0	MARVEL domain-containing protein	Sus scrofa	protein	UniProtKB	
BET1	t-SNARE coiled-coil homology domain-containing protein	Sus scrofa	protein	UniProtKB	
WNT16	Protein Wnt	Sus scrofa	protein	UniProtKB	
AHCYL1	AdoHcyase_NAD domain-containing protein	Sus scrofa	protein	UniProtKB	
CTTNBP2	Cortactin-binding protein 2	Sus scrofa	protein	UniProtKB	
TMEM30A	Cell cycle control protein	Sus scrofa	protein	UniProtKB	
ABHD14B	Poly(RC)-binding protein 4	Sus scrofa	protein	UniProtKB	
FAF1	UBX domain-containing protein	Sus scrofa	protein	UniProtKB	
PTGES	glutathione transferase	Sus scrofa	protein	UniProtKB	
CBWD1	CobW C-terminal domain-containing protein	Sus scrofa	protein	UniProtKB	
PGM5	Phosphoglucomutase-like protein 5	Sus scrofa	protein	UniProtKB	
ASZ1	Ankyrin repeat, SAM and basic leucine zipper domain-containing protein 1	Sus scrofa	protein	UniProtKB	
LOC692190	Beta-defensin	Sus scrofa	protein	UniProtKB	
ENTREP1	Protein FAM189A2	Sus scrofa	protein	UniProtKB	FAM189A2
STAMBPL1	MPN domain-containing protein	Sus scrofa	protein	UniProtKB	
PTAR1	Protein prenyltransferase alpha subunit repeat-containing protein 1	Sus scrofa	protein	UniProtKB	
MDFIC	MyoD family inhibitor domain containing	Sus scrofa	protein	UniProtKB	
ARL4A	ADP-ribosylation factor-like 4A	Sus scrofa	protein	UniProtKB	
PPP1R3A	CBM21 domain-containing protein	Sus scrofa	protein	UniProtKB	
GPATCH8	G patch domain-containing protein 8	Sus scrofa	protein	UniProtKB	
TMC1	Transmembrane channel-like protein	Sus scrofa	protein	UniProtKB	
ANXA1	Annexin	Sus scrofa	protein	UniProtKB	
TMEM168	Transmembrane protein 168	Sus scrofa	protein	UniProtKB	
MTRES1	Mitochondrial transcription rescue factor 1	Sus scrofa	protein	UniProtKB	
CDCA8	Borealin	Sus scrofa	protein	UniProtKB	
F1SJA8	Ferritin	Sus scrofa	protein	UniProtKB	
F1SJA6	Protein MANBAL	Sus scrofa	protein	UniProtKB	
TRPM6	non-specific serine/threonine protein kinase	Sus scrofa	protein	UniProtKB	
POLR1F	RPA43_OB domain-containing protein	Sus scrofa	protein	UniProtKB	
CLEC1A	C-type lectin domain-containing protein	Sus scrofa	protein	UniProtKB	
PSME3	Proteasome activator complex subunit 3	Sus scrofa	protein	UniProtKB	
VASH2	Vasohibin-2	Sus scrofa	protein	UniProtKB	
F1SC23	Neurotrophin receptor-interacting factor homolog	Sus scrofa	protein	UniProtKB	
SLC4A4	Electrogenic sodium bicarbonate cotransporter 1	Sus scrofa	protein	UniProtKB	NBC1|NBCE1
NCF4	Neutrophil cytosolic factor 4	Sus scrofa	protein	UniProtKB	
DSC3	Desmocollin-3	Sus scrofa	protein	UniProtKB	
RNF212	RING-type domain-containing protein	Sus scrofa	protein	UniProtKB	
CYP4F52	Phylloquinone omega-hydroxylase CYP4F2	Sus scrofa	protein	UniProtKB	CYP4F3
SMIM28	Small integral membrane protein 28	Sus scrofa	protein	UniProtKB	
IL4I1	Amine oxidase	Sus scrofa	protein	UniProtKB	
OXR1	Oxidation resistance 1	Sus scrofa	protein	UniProtKB	
CFI	Complement factor I	Sus scrofa	protein	UniProtKB	
LOC100511653	Olfactory receptor	Sus scrofa	protein	UniProtKB	
NCKAP1L	Nck-associated protein 1-like	Sus scrofa	protein	UniProtKB	
ELAC2	Zinc phosphodiesterase ELAC protein 2	Sus scrofa	protein	UniProtKB	
TNFSF9	TNF_2 domain-containing protein	Sus scrofa	protein	UniProtKB	
ALKBH7	AlkB homolog 7	Sus scrofa	protein	UniProtKB	
BRIP1	Helicase ATP-binding domain-containing protein	Sus scrofa	protein	UniProtKB	
PLTP	Phospholipid transfer protein	Sus scrofa	protein	UniProtKB	
ITGB6	Integrin beta-6	Sus scrofa	protein	UniProtKB	
MLLT1	AHD domain-containing protein	Sus scrofa	protein	UniProtKB	
DLC1	Rho GTPase-activating protein 7	Sus scrofa	protein	UniProtKB	
MSR1	SRCR domain-containing protein	Sus scrofa	protein	UniProtKB	
ADPGK	ADP-dependent glucokinase	Sus scrofa	protein	UniProtKB	
AKIP1	AKIP1	Sus scrofa	protein	UniProtKB	
FGF20	Fibroblast growth factor	Sus scrofa	protein	UniProtKB	
A0A287AZC3	Olfactory receptor	Sus scrofa	protein	UniProtKB	
HSF2	HSF_DOMAIN domain-containing protein	Sus scrofa	protein	UniProtKB	
B2M	Beta-2-microglobulin	Sus scrofa	protein	UniProtKB	
PDGFRL	Platelet-derived growth factor receptor-like protein	Sus scrofa	protein	UniProtKB	
UTP25	U3 small nucleolar RNA-associated protein 25 homolog	Sus scrofa	protein	UniProtKB	
SLC4A5	Anion exchange protein	Sus scrofa	protein	UniProtKB	
NOXA1	SH3 domain-containing protein	Sus scrofa	protein	UniProtKB	
DEFB114	Beta-defensin	Sus scrofa	protein	UniProtKB	
SGMS1	SAM domain-containing protein	Sus scrofa	protein	UniProtKB	
KCNMB4	Calcium-activated potassium channel subunit beta	Sus scrofa	protein	UniProtKB	
HSD11B1	Corticosteroid 11-beta-dehydrogenase isozyme 1	Sus scrofa	protein	UniProtKB	
G0S2	G0/G1 switch protein 2	Sus scrofa	protein	UniProtKB	
ASAH1	Ceramidase	Sus scrofa	protein	UniProtKB	
CAMK1G	Protein kinase domain-containing protein	Sus scrofa	protein	UniProtKB	
GJA1	Gap junction protein	Sus scrofa	protein	UniProtKB	
A0A5G2QJM8	Olfactory receptor	Sus scrofa	protein	UniProtKB	
SLC30A4	Zinc transporter 4	Sus scrofa	protein	UniProtKB	
EMC8	ER membrane protein complex subunit 8	Sus scrofa	protein	UniProtKB	
BBOF1	Basal body-orientation factor 1	Sus scrofa	protein	UniProtKB	
PALMD	Palmdelphin	Sus scrofa	protein	UniProtKB	
RPS27A	Ubiquitin-40S ribosomal protein S27a	Sus scrofa	protein	UniProtKB	
KLF17	Krueppel-like factor 17	Sus scrofa	protein	UniProtKB	
KLF13	Kruppel like factor 13	Sus scrofa	protein	UniProtKB	
ASF1A	ASF1 protein	Sus scrofa	protein	UniProtKB	
FASTKD3	RAP domain-containing protein	Sus scrofa	protein	UniProtKB	
SLC35F1	Solute carrier family 35 member F1	Sus scrofa	protein	UniProtKB	
F1SF34	RRM domain-containing protein	Sus scrofa	protein	UniProtKB	
SFTPA1	C-type lectin domain-containing protein	Sus scrofa	protein	UniProtKB	
MAT1A	S-adenosylmethionine synthase	Sus scrofa	protein	UniProtKB	
GPR182	G_PROTEIN_RECEP_F1_2 domain-containing protein	Sus scrofa	protein	UniProtKB	
FTO	Alpha-ketoglutarate-dependent dioxygenase FTO	Sus scrofa	protein	UniProtKB	
FERMT2	PH domain-containing protein	Sus scrofa	protein	UniProtKB	
URM1	Ubiquitin-related modifier 1	Sus scrofa	protein	UniProtKB	
CLK1	Protein kinase domain-containing protein	Sus scrofa	protein	UniProtKB	
VWC2	VWFC domain-containing protein	Sus scrofa	protein	UniProtKB	
ZPBP	Zona pellucida-binding protein 1	Sus scrofa	protein	UniProtKB	
PRXL2A	Peroxiredoxin-like 2A	Sus scrofa	protein	UniProtKB	
LOC100521785	Zinc finger protein 624-like	Sus scrofa	protein	UniProtKB	
BPIFB6	BPI2 domain-containing protein	Sus scrofa	protein	UniProtKB	
NEPN	Nephrocan-like	Sus scrofa	protein	UniProtKB	LOC100520342
LRIT2	Ig-like domain-containing protein	Sus scrofa	protein	UniProtKB	
CBX2	Chromo domain-containing protein	Sus scrofa	protein	UniProtKB	
ZER1	Protein zer-1 homolog	Sus scrofa	protein	UniProtKB	
CDHR1	Cadherin related family member 1	Sus scrofa	protein	UniProtKB	
RGR	G_PROTEIN_RECEP_F1_2 domain-containing protein	Sus scrofa	protein	UniProtKB	
GRID1	Glutamate receptor	Sus scrofa	protein	UniProtKB	
OR2M4	Olfactory receptor	Sus scrofa	protein	UniProtKB	
CACHD1	VWFA domain-containing protein	Sus scrofa	protein	UniProtKB	
IVL	Involucrin	Sus scrofa	protein	UniProtKB	
MAP3K7	Mitogen-activated protein kinase kinase kinase 7	Sus scrofa	protein	UniProtKB	TAK1b
VSTM2A	Ig-like domain-containing protein	Sus scrofa	protein	UniProtKB	
VCAM1	Vascular cell adhesion protein 1	Sus scrofa	protein	UniProtKB	
AVPR1B	Vasopressin V1b receptor	Sus scrofa	protein	UniProtKB	
DPH5	diphthine methyl ester synthase	Sus scrofa	protein	UniProtKB	
TNNI3	Troponin I, cardiac muscle	Sus scrofa	protein	UniProtKB	
LOC100624006	Olfactory receptor	Sus scrofa	protein	UniProtKB	
