Gene / product (bioentity_label)	Gene / product (bioentity_name)	Organism (taxon_label)	Type	Source	Synonyms
Atcay	ataxia, cerebellar, Cayman type	Mus musculus	protein_coding_gene	MGI	3322401A10Rik|BNIP-H|ji
Tm7sf3	transmembrane 7 superfamily member 3	Mus musculus	protein_coding_gene	MGI	2010003B14Rik
Olfml3	olfactomedin-like 3	Mus musculus	protein_coding_gene	MGI	2810002E22Rik|HNOEL-iso|ONT3|mONT3
Gm16185	predicted gene 16185	Mus musculus	lncRNA_gene	MGI	
Gm15834	predicted gene 15834	Mus musculus	lncRNA_gene	MGI	C130065N10Rik
Gm15898	predicted gene 15898	Mus musculus	lncRNA_gene	MGI	
Gm16220	predicted gene 16220	Mus musculus	lncRNA_gene	MGI	
Gm16083	predicted gene 16083	Mus musculus	lncRNA_gene	MGI	
Gm16062	predicted gene 16062	Mus musculus	lncRNA_gene	MGI	
Gm15890	predicted gene 15890	Mus musculus	lncRNA_gene	MGI	
4930470P17Rik	RIKEN cDNA 4930470P17 gene	Mus musculus	protein_coding_gene	MGI	
4930474N09Rik	RIKEN cDNA 4930474N09 gene	Mus musculus	lncRNA_gene	MGI	
Gm15889	predicted gene 15889	Mus musculus	lncRNA_gene	MGI	
Gm15910	predicted gene 15910	Mus musculus	lncRNA_gene	MGI	
Gm16132	predicted gene 16132	Mus musculus	lncRNA_gene	MGI	
Gm16133	predicted gene 16133	Mus musculus	lncRNA_gene	MGI	
Gm16201	predicted gene 16201	Mus musculus	lncRNA_gene	MGI	
Cxcr1	chemokine (C-X-C motif) receptor 1	Mus musculus	protein_coding_gene	MGI	Il8ra
Kctd11	potassium channel tetramerisation domain containing 11	Mus musculus	protein_coding_gene	MGI	Ren
Gm15952	predicted gene 15952	Mus musculus	lncRNA_gene	MGI	
Gm16023	predicted gene 16023	Mus musculus	lncRNA_gene	MGI	
Gm16024	predicted gene 16024	Mus musculus	lncRNA_gene	MGI	
Gm16025	predicted gene 16025	Mus musculus	lncRNA_gene	MGI	
Gm16160	predicted gene 16160	Mus musculus	lncRNA_gene	MGI	
Gm15961	predicted gene 15961	Mus musculus	lncRNA_gene	MGI	
Gm15962	predicted gene 15962	Mus musculus	lncRNA_gene	MGI	
Gm15963	predicted gene 15963	Mus musculus	lncRNA_gene	MGI	
Afmid	arylformamidase	Mus musculus	protein_coding_gene	MGI	9030621K19Rik|formylase|formylkynureninase|Kf|kynurenine formamidase
Gm15911	predicted gene 15911	Mus musculus	lncRNA_gene	MGI	
Gm16135	predicted gene 16135	Mus musculus	lncRNA_gene	MGI	
Gm16136	predicted gene 16136	Mus musculus	lncRNA_gene	MGI	
Gm16137	predicted gene 16137	Mus musculus	lncRNA_gene	MGI	
Gm15902	predicted gene 15902	Mus musculus	lncRNA_gene	MGI	
Gm16120	predicted gene 16120	Mus musculus	lncRNA_gene	MGI	
Gm16121	predicted gene 16121	Mus musculus	lncRNA_gene	MGI	
Gm15114	predicted gene 15114	Mus musculus	protein_coding_gene	MGI	
Ak6	adenylate kinase 6	Mus musculus	protein_coding_gene	MGI	2810046E22Rik|4921516M08Rik
Gm16244	predicted gene 16244	Mus musculus	lncRNA_gene	MGI	
Gm16010	predicted gene 16010	Mus musculus	lncRNA_gene	MGI	
Gm15107	predicted gene 15107	Mus musculus	protein_coding_gene	MGI	
Gm16140	predicted gene 16140	Mus musculus	lncRNA_gene	MGI	
Gm16141	predicted gene 16141	Mus musculus	lncRNA_gene	MGI	
Gm16142	predicted gene 16142	Mus musculus	lncRNA_gene	MGI	
Gm11503	predicted gene 11503	Mus musculus	gene	MGI	
Pars2	prolyl-tRNA synthetase (mitochondrial)(putative)	Mus musculus	protein_coding_gene	MGI	
B230219N15Rik	RIKEN cDNA B230219N15 gene	Mus musculus	lncRNA_gene	MGI	
C730027H18Rik	RIKEN cDNA C730027H18 gene	Mus musculus	lncRNA_gene	MGI	
Gm16001	predicted gene 16001	Mus musculus	lncRNA_gene	MGI	
Lrrc8dos	leucine rich repeat containing 8D, opposite strand	Mus musculus	gene_product	MGI	Gm15817
Gm15864	predicted gene 15864	Mus musculus	lncRNA_gene	MGI	
Gm15816	predicted gene 15816	Mus musculus	lncRNA_gene	MGI	
Gm15978	predicted gene 15978	Mus musculus	lncRNA_gene	MGI	
Gm2516	predicted gene 2516	Mus musculus	lncRNA_gene	MGI	
Ubxn2a	UBX domain protein 2A	Mus musculus	protein_coding_gene	MGI	6330407P03Rik|Ubxd4
Gm15995	predicted gene 15995	Mus musculus	lncRNA_gene	MGI	
Gm15996	predicted gene 15996	Mus musculus	lncRNA_gene	MGI	
Gm15932	predicted gene 15932	Mus musculus	lncRNA_gene	MGI	
Gm16237	predicted gene 16237	Mus musculus	lncRNA_gene	MGI	
Siglecl1	Siglec family like 1	Mus musculus	protein_coding_gene	MGI	Gm2511
Gm15999	predicted gene 15999	Mus musculus	lncRNA_gene	MGI	
Gm15943	predicted gene 15943	Mus musculus	lncRNA_gene	MGI	
Ggn	gametogenetin	Mus musculus	protein_coding_gene	MGI	
BC061195	cDNA sequence BC061195	Mus musculus	lncRNA_gene	MGI	
Defb20	defensin beta 20	Mus musculus	protein_coding_gene	MGI	9230107O10Rik
9630055L06Rik	RIKEN cDNA 9630055L06 gene	Mus musculus	lncRNA_gene	MGI	
Gm16529	predicted gene, 16529	Mus musculus	gene_product	MGI	
Sprn	shadow of prion protein	Mus musculus	protein_coding_gene	MGI	shadoo
Celf5	CUGBP, Elav-like family member 5	Mus musculus	protein_coding_gene	MGI	4930565A21Rik|Brunol5
Kirrel2	kirre like nephrin family adhesion molecule 2	Mus musculus	protein_coding_gene	MGI	C330019F22Rik|NEPH3
9630002A11Rik	RIKEN cDNA 9630002A11 gene	Mus musculus	lncRNA_gene	MGI	
Card14	caspase recruitment domain family, member 14	Mus musculus	protein_coding_gene	MGI	Bimp2|CARMA2
Tex13d	TEX13 family member D	Mus musculus	protein_coding_gene	MGI	Gm2483
Eif3l	eukaryotic translation initiation factor 3, subunit L	Mus musculus	protein_coding_gene	MGI	0610011H21Rik|D15N1e|Eif3eip|Eif3s6ip|HSP-66Y|PAF67
C130021I20Rik	Riken cDNA C130021I20  gene	Mus musculus	lncRNA_gene	MGI	
D130060J10Rik	RIKEN cDNA D130060J10 gene	Mus musculus	lncRNA_gene	MGI	
Lncpint	long non-protein coding RNA, Trp53 induced transcript	Mus musculus	lncRNA_gene	MGI	MNCb-1768|Linc-Pint|AB041803|Lincpint|Pint
Tmem179	transmembrane protein 179	Mus musculus	protein_coding_gene	MGI	
Gm2479	predicted gene 2479	Mus musculus	lncRNA_gene	MGI	
Trpm8	transient receptor potential cation channel, subfamily M, member 8	Mus musculus	protein_coding_gene	MGI	CMR1|Trp-p8|TRPP8
Phc3	polyhomeotic 3	Mus musculus	protein_coding_gene	MGI	E030046K01Rik|EDR3|HPH3
Col16a1	collagen, type XVI, alpha 1	Mus musculus	protein_coding_gene	MGI	2700007F12Rik|[a]1 (XVI) collagen|A530052M23Rik
Gm2464	predicted gene 2464	Mus musculus	lncRNA_gene	MGI	
Ccl26	chemokine (C-C motif) ligand 26	Mus musculus	protein_coding_gene	MGI	Ccl26l|eotaxin-3
Mirc35hg	microRNA cluster 35, host gene	Mus musculus	lncRNA_gene	MGI	linc_miR96
Spata7	spermatogenesis associated 7	Mus musculus	protein_coding_gene	MGI	B230306G18Rik|HSD3
Gm2461	predicted gene 2461	Mus musculus	protein_coding_gene	MGI	
Gm2458	predicted gene 2458	Mus musculus	protein_coding_gene	MGI	
Ylpm1	YLP motif containing 1	Mus musculus	protein_coding_gene	MGI	A930013E17Rik|ZAP|Zap3
Tnip1	TNFAIP3 interacting protein 1	Mus musculus	protein_coding_gene	MGI	A20-binding inhibitor of NF-kappa B activation|ABIN1|Nef|VAN
Stap1	signal transducing adaptor family member 1	Mus musculus	protein_coding_gene	MGI	Brdg1|STAP-1
Slc5a2	solute carrier family 5 (sodium/glucose cotransporter), member 2	Mus musculus	protein_coding_gene	MGI	Sglt2
Fam168a	family with sequence similarity 168, member A	Mus musculus	protein_coding_gene	MGI	2610030B18Rik|B930006L02Rik
Tecpr2	tectonin beta-propeller repeat containing 2	Mus musculus	protein_coding_gene	MGI	4930573I19Rik
Gm2449	predicted gene 2449	Mus musculus	lncRNA_gene	MGI	
Emilin1	elastin microfibril interfacer 1	Mus musculus	protein_coding_gene	MGI	5830419M17Rik|EMILIN-1|gp115
Fbxo34	F-box protein 34	Mus musculus	protein_coding_gene	MGI	5830426G16Rik|2900057B08Rik
Avl9	AVL9 cell migration associated	Mus musculus	protein_coding_gene	MGI	5830411G16Rik|D730049P16Rik
Wdr76	WD repeat domain 76	Mus musculus	protein_coding_gene	MGI	5830411K18Rik
Saal1	serum amyloid A-like 1	Mus musculus	protein_coding_gene	MGI	5031425D22Rik
4930581F22Rik	RIKEN cDNA 4930581F22 gene	Mus musculus	lncRNA_gene	MGI	
4930546C10Rik	RIKEN cDNA 4930546C10 gene	Mus musculus	lncRNA_gene	MGI	
Polr3h	polymerase (RNA) III (DNA directed) polypeptide H	Mus musculus	protein_coding_gene	MGI	5031409G22Rik|RPC8
Pigt	phosphatidylinositol glycan anchor biosynthesis, class T	Mus musculus	protein_coding_gene	MGI	2510012P17Rik|4930534E15Rik|CGI-06|NDAP|Ndap7
Gas2l1	growth arrest-specific 2 like 1	Mus musculus	protein_coding_gene	MGI	4930500E24Rik|D0Jmb1|GAR22|TU-71.1
4930420G21Rik	RIKEN cDNA 4930420G21 gene	Mus musculus	lncRNA_gene	MGI	Gm49687
Chsy3	chondroitin sulfate synthase 3	Mus musculus	protein_coding_gene	MGI	4833446K15Rik
9130019O22Rik	RIKEN cDNA 9130019O22 gene	Mus musculus	protein_coding_gene	MGI	
Dlst	dihydrolipoamide S-succinyltransferase (E2 component of 2-oxo-glutarate complex)	Mus musculus	protein_coding_gene	MGI	1600017E01Rik|4632413C10Rik|4930529O08Rik
Cbll1	Casitas B-lineage lymphoma-like 1	Mus musculus	protein_coding_gene	MGI	c-Cbl-like|Hakai
Fndc8	fibronectin type III domain containing 8	Mus musculus	protein_coding_gene	MGI	4930466G16Rik
4930455M05Rik	RIKEN cDNA 4930455M05 gene	Mus musculus	lncRNA_gene	MGI	
4930455G09Rik	RIKEN cDNA 4930455G09 gene	Mus musculus	lncRNA_gene	MGI	
4930425K24Rik	RIKEN cDNA 4930425K24 gene	Mus musculus	lncRNA_gene	MGI	
Nadsyn1	NAD synthetase 1	Mus musculus	protein_coding_gene	MGI	9130012B15Rik
Ltn1	listerin E3 ubiquitin protein ligase 1	Mus musculus	protein_coding_gene	MGI	4930528H02Rik|Listerin|Rnf160|Zfp294
Sp2	Sp2 transcription factor	Mus musculus	protein_coding_gene	MGI	
Trim42	tripartite motif-containing 42	Mus musculus	protein_coding_gene	MGI	4930486B16Rik
Asb15	ankyrin repeat and SOCS box-containing 15	Mus musculus	protein_coding_gene	MGI	4930400E23Rik
Vmn2r57	vomeronasal 2, receptor 57	Mus musculus	protein_coding_gene	MGI	EG269902
Trib3	tribbles pseudokinase 3	Mus musculus	protein_coding_gene	MGI	Ifld2|Nipk|SKIP3|Trb3
Ptpn23	protein tyrosine phosphatase, non-receptor type 23	Mus musculus	protein_coding_gene	MGI	PTP-TD14
Gm16534	predicted gene 16534	Mus musculus	lncRNA_gene	MGI	
Ahnak2	AHNAK nucleoprotein 2	Mus musculus	protein_coding_gene	MGI	LOC382643
Mdn1	midasin AAA ATPase 1	Mus musculus	protein_coding_gene	MGI	4833432B22Rik|D4Abb1e|LOC213784
Igsf3	immunoglobulin superfamily, member 3	Mus musculus	protein_coding_gene	MGI	1700016K10Rik|2810035F16Rik|4833439O17Rik
Atf6	activating transcription factor 6	Mus musculus	protein_coding_gene	MGI	9130025P16Rik|Atf6alpha|ESTM49
Misp	mitotic spindle positioning	Mus musculus	protein_coding_gene	MGI	9130017N09Rik
4930448N21Rik	RIKEN cDNA 4930448N21 gene	Mus musculus	lncRNA_gene	MGI	
Cfap20dc	CFAP20 domain containing	Mus musculus	protein_coding_gene	MGI	4930452B06Rik
Wrnip1	Werner helicase interacting protein 1	Mus musculus	protein_coding_gene	MGI	4833444L21Rik|WHIP
4833447P13Rik	RIKEN cDNA 4833447P13 gene	Mus musculus	lncRNA_gene	MGI	
9130024F11Rik	RIKEN cDNA 9130024F11 gene	Mus musculus	lncRNA_gene	MGI	EG329160
Gm7385	predicted gene 7385	Mus musculus	protein_coding_gene	MGI	
Gtf2h2	general transcription factor II H, polypeptide 2	Mus musculus	protein_coding_gene	MGI	44kDa|basal transcription factor 2, p44 subunit|Btf2p44|p44
Aspg	asparaginase	Mus musculus	protein_coding_gene	MGI	A530050D06Rik
4932443L11Rik	RIKEN cDNA 4932443L11 gene	Mus musculus	lncRNA_gene	MGI	
Ecrg4	ECRG4 augurin precursor	Mus musculus	protein_coding_gene	MGI	1500015O10Rik|augurin
Pus7l	pseudouridylate synthase 7-like	Mus musculus	protein_coding_gene	MGI	3000003F02Rik
Aacs	acetoacetyl-CoA synthetase	Mus musculus	protein_coding_gene	MGI	2210408B16Rik
Cnot10	CCR4-NOT transcription complex, subunit 10	Mus musculus	protein_coding_gene	MGI	2600001P13Rik
Crispld2	cysteine-rich secretory protein LCCL domain containing 2	Mus musculus	protein_coding_gene	MGI	1810049K24Rik|coffeecrisp|Lgl1
Trmt44	tRNA methyltransferase 44	Mus musculus	protein_coding_gene	MGI	2310079F23Rik
Lrfn5	leucine rich repeat and fibronectin type III domain containing 5	Mus musculus	protein_coding_gene	MGI	
Wsb1	WD repeat and SOCS box-containing 1	Mus musculus	protein_coding_gene	MGI	1110056B13Rik|2700038M07Rik
Sfi1	Sfi1 homolog, spindle assembly associated (yeast)	Mus musculus	protein_coding_gene	MGI	2310047I15Rik
Coro7	coronin 7	Mus musculus	protein_coding_gene	MGI	0610011B16Rik
Zdhhc3	zinc finger, DHHC domain containing 3	Mus musculus	protein_coding_gene	MGI	1110020O22Rik|1810006O10Rik|2210017C02Rik|GODZ|Zfp373
9630013K17Rik	RIKEN cDNA 9630013K17 gene	Mus musculus	lncRNA_gene	MGI	
Runx2os2	runt related transcription factor 2, opposite strand 2	Mus musculus	gene_product	MGI	9530072K05Rik
B230219J11Rik	RIKEN cDNA B230219J11 gene	Mus musculus	lncRNA_gene	MGI	
Gm8797	predicted pseudogene 8797	Mus musculus	protein_coding_gene	MGI	
Sufu	SUFU negative regulator of hedgehog signaling	Mus musculus	protein_coding_gene	MGI	2810026F04Rik|b2b273Clo|Su(Fu)
Vipas39	VPS33B interacting protein, apical-basolateral polarity regulator, spe-39 homolog	Mus musculus	protein_coding_gene	MGI	SPE-39|Vipar
Sfta3-ps	surfactant associated 3, pseudogene	Mus musculus	lncRNA_gene	MGI	E030019B13Rik|Nanci
Arid1b	AT rich interactive domain 1B (SWI-like)	Mus musculus	protein_coding_gene	MGI	9330189K18Rik|B230217J03Rik
Ftx	Ftx transcript, Xist regulator (non-protein coding)	Mus musculus	lncRNA_gene	MGI	B230206F22Rik|Thcytx
B230214N19Rik	RIKEN cDNA B230214N19 gene	Mus musculus	lncRNA_gene	MGI	
B230206L23Rik	RIKEN cDNA B230206L23 gene	Mus musculus	lncRNA_gene	MGI	
B230201I24Rik	RIKEN cDNA B230201I24 gene	Mus musculus	lncRNA_gene	MGI	
B230207N12Rik	RIKEN cDNA B230207N12 gene	Mus musculus	lncRNA_gene	MGI	
B230117O15Rik	RIKEN cDNA B230117O15 gene	Mus musculus	lncRNA_gene	MGI	
Pcbp1	poly(rC) binding protein 1	Mus musculus	protein_coding_gene	MGI	[a]CP-1|hnRNP E1|WBP17
Amfr	autocrine motility factor receptor	Mus musculus	protein_coding_gene	MGI	gp78
Mars1	methionine-tRNA synthetase 1	Mus musculus	protein_coding_gene	MGI	Mars|methionine tRNA ligase|methionyl-tRNA synthetase|MetRS
Pdk1	pyruvate dehydrogenase kinase, isoenzyme 1	Mus musculus	protein_coding_gene	MGI	D530020C15Rik
D730005E14Rik	RIKEN cDNA D730005E14 gene	Mus musculus	lncRNA_gene	MGI	
D530018E20Rik	RIKEN cDNA D530018E20 gene	Mus musculus	lncRNA_gene	MGI	
Abraxas2	BRISC complex subunit	Mus musculus	protein_coding_gene	MGI	C430003P19Rik|Fam175b|KIAA0157
C330026H20Rik	RIKEN cDNA C330026H20 gene	Mus musculus	lncRNA_gene	MGI	
9530053P14Rik	RIKEN cDNA 9530053P14 gene	Mus musculus	lncRNA_gene	MGI	
Rhof	ras homolog family member F (in filopodia)	Mus musculus	protein_coding_gene	MGI	Arhf|Ifld1
Scgb2b10	secretoglobin, family 2B, member 10	Mus musculus	protein_coding_gene	MGI	Gm6513|Abpbg10
Slc35a1	solute carrier family 35 (CMP-sialic acid transporter), member 1	Mus musculus	protein_coding_gene	MGI	
Fam163b	family with sequence similarity 163, member B	Mus musculus	protein_coding_gene	MGI	C630035N08Rik
Zfp536	zinc finger protein 536	Mus musculus	protein_coding_gene	MGI	9630010P11Rik
9530078B04Rik	RIKEN cDNA 9530078B04 gene	Mus musculus	lncRNA_gene	MGI	
Gm13997	predicted gene 13997	Mus musculus	lncRNA_gene	MGI	
Ifld5	induced in fatty liver dystrophy 5	Mus musculus	gene	MGI	F24
Ifld4	induced in fatty liver dystrophy 4	Mus musculus	gene	MGI	F23
4933402N22Rik	RIKEN cDNA 4933402N22 gene	Mus musculus	protein_coding_gene	MGI	
Ifld3	induced in fatty liver dystrophy 3	Mus musculus	gene	MGI	
D930007M16Rik	RIKEN cDNA D930007M16 gene	Mus musculus	lncRNA_gene	MGI	
D930006K15Rik	RIKEN cDNA D930006K15 gene	Mus musculus	lncRNA_gene	MGI	
Hs3st5	heparan sulfate (glucosamine) 3-O-sulfotransferase 5	Mus musculus	protein_coding_gene	MGI	D930005L05Rik|LOC382362
D830016O14Rik	RIKEN cDNA D830016O14 gene	Mus musculus	lncRNA_gene	MGI	
Gpr4	G protein-coupled receptor 4	Mus musculus	protein_coding_gene	MGI	
D830013H23Rik	RIKEN cDNA D830013H23 gene	Mus musculus	lncRNA_gene	MGI	
Lrrc41	leucine rich repeat containing 41	Mus musculus	protein_coding_gene	MGI	MUF1|D730026A16Rik|D630045E04Rik
D630033L23Rik	RIKEN cDNA D630033L23 gene	Mus musculus	lncRNA_gene	MGI	
Aldh5a1	aldhehyde dehydrogenase family 5, subfamily A1	Mus musculus	protein_coding_gene	MGI	6330403E24Rik|D630032B01Rik|OTTMUSG00000000613|SSADH
Caps2	calcyphosphine 2	Mus musculus	protein_coding_gene	MGI	D630005B03Rik
Gm13102	predicted gene 13102	Mus musculus	protein_coding_gene	MGI	
D630004L18Rik	RIKEN cDNA D630004L18 gene	Mus musculus	lncRNA_gene	MGI	
D430036J16Rik	RIKEN cDNA D430036J16 gene	Mus musculus	lncRNA_gene	MGI	
D430032J08Rik	RIKEN cDNA D430032J08 gene	Mus musculus	lncRNA_gene	MGI	
D430001F17Rik	RIKEN cDNA D430001F17 gene	Mus musculus	lncRNA_gene	MGI	
D330005C11Rik	RIKEN cDNA D330005C11 gene	Mus musculus	lncRNA_gene	MGI	
D330004O07Rik	RIKEN cDNA D330004O07 gene	Mus musculus	lncRNA_gene	MGI	
D230044P21Rik	RIKEN cDNA D230044P21 gene	Mus musculus	lncRNA_gene	MGI	
D230019A03Rik	RIKEN cDNA D230019A03 gene	Mus musculus	lncRNA_gene	MGI	
Rnf125	ring finger protein 125	Mus musculus	protein_coding_gene	MGI	4930553F04Rik
Gm8013	predicted gene 8013	Mus musculus	lncRNA_gene	MGI	
D230014I24Rik	RIKEN cDNA D230014I24 gene	Mus musculus	lncRNA_gene	MGI	
Irx3os	iroquois homeobox 3,  opposite strand	Mus musculus	gene_product	MGI	D230002A01Rik
Adgrl3	adhesion G protein-coupled receptor L3	Mus musculus	protein_coding_gene	MGI	5430402I23Rik|D130075K09Rik|LEC3|lectomedin 3|Lphn3
Pxn	paxillin	Mus musculus	protein_coding_gene	MGI	Pax
Pramel39	PRAME like 39	Mus musculus	protein_coding_gene	MGI	A430089I19Rik|Gm16522
D130062J10Rik	RIKEN cDNA D130062J10 gene	Mus musculus	lncRNA_gene	MGI	
D130061D10Rik	RIKEN cDNA D130061D10 gene	Mus musculus	lncRNA_gene	MGI	
Rrm2b	ribonucleotide reductase M2 B (TP53 inducible)	Mus musculus	protein_coding_gene	MGI	p53R2
D130012P04Rik	RIKEN cDNA D130012P04 gene	Mus musculus	lncRNA_gene	MGI	
Slc4a1ap	solute carrier family 4 (anion exchanger), member 1, adaptor protein	Mus musculus	protein_coding_gene	MGI	kanadaptin
Prepl	prolyl endopeptidase-like	Mus musculus	protein_coding_gene	MGI	2810457N15Rik|9530014L06Rik|D030028O16Rik
D030028A08Rik	RIKEN cDNA D030028A08 gene	Mus musculus	lncRNA_gene	MGI	
Gm7967	predicted gene 7967	Mus musculus	lncRNA_gene	MGI	
Gm7968	predicted gene 7968	Mus musculus	gene	MGI	
H2ab2	H2A.B variant histone 2	Mus musculus	protein_coding_gene	MGI	EG624153|H2A.Bbd4|H2afb2|H2afb2-ps
Cts7	cathepsin 7	Mus musculus	protein_coding_gene	MGI	CTS1|Epcs24|Epcs71
Zfp952	zinc finger protein 952	Mus musculus	protein_coding_gene	MGI	C920016K16Rik
Ninj1	ninjurin 1	Mus musculus	protein_coding_gene	MGI	
C920008N22Rik	RIKEN cDNA C920008N22 gene	Mus musculus	lncRNA_gene	MGI	
Gm16046	predicted gene 16046	Mus musculus	lncRNA_gene	MGI	
Gm16047	predicted gene 16047	Mus musculus	gene_product	MGI	
Gm15929	predicted gene 15929	Mus musculus	lncRNA_gene	MGI	
C730034F03Rik	RIKEN cDNA C730034F03 gene	Mus musculus	lncRNA_gene	MGI	
Rcor3	REST corepressor 3	Mus musculus	protein_coding_gene	MGI	4921514E24Rik|C730034D20Rik|E130101E15Rik
1810037I17Rik	RIKEN cDNA 1810037I17 gene	Mus musculus	protein_coding_gene	MGI	another-regulin|ALN
Rhox3g	reproductive homeobox 3G	Mus musculus	protein_coding_gene	MGI	Rhox3.7|Rhox3g-ps
Tmem179b	transmembrane protein 179B	Mus musculus	protein_coding_gene	MGI	0610031L02Rik|1500003K22Rik|1810059G22Rik
Gm16231	predicted gene 16231	Mus musculus	lncRNA_gene	MGI	
Gm16233	predicted gene 16233	Mus musculus	lncRNA_gene	MGI	
Gm16076	predicted gene 16076	Mus musculus	lncRNA_gene	MGI	
Gm15942	predicted gene 15942	Mus musculus	lncRNA_gene	MGI	
C530043A13Rik	RIKEN cDNA C530043A13 gene	Mus musculus	lncRNA_gene	MGI	
C530040J15Rik	RIKEN cDNA C530040J15 gene	Mus musculus	lncRNA_gene	MGI	
C530036F05Rik	RIKEN cDNA C530036F05 gene	Mus musculus	lncRNA_gene	MGI	
C530034L13Rik	RIKEN cDNA C530034L13 gene	Mus musculus	lncRNA_gene	MGI	
Ces3b	carboxylesterase 3B	Mus musculus	protein_coding_gene	MGI	ES31L|Gm4738
2010106E10Rik	RIKEN cDNA 2010106E10 gene	Mus musculus	protein_coding_gene	MGI	
Lipf	lipase, gastric	Mus musculus	protein_coding_gene	MGI	2310051B21Rik
Gm16211	predicted gene 16211	Mus musculus	lncRNA_gene	MGI	
Pianp	PILR alpha associated neural protein	Mus musculus	protein_coding_gene	MGI	C530028O21Rik
Gm16034	predicted gene 16034	Mus musculus	lncRNA_gene	MGI	
Ghsr	growth hormone secretagogue receptor	Mus musculus	protein_coding_gene	MGI	C530020I22Rik|Ghsr1a
Gm16049	predicted gene 16049	Mus musculus	ncRNA_gene	MGI	
Gm16108	predicted gene 16108	Mus musculus	lncRNA_gene	MGI	
Gm15415	predicted gene 15415	Mus musculus	gene_product	MGI	
Cyp2ab1	cytochrome P450, family 2, subfamily ab, polypeptide 1	Mus musculus	protein_coding_gene	MGI	EG224044
Gm4951	predicted gene 4951	Mus musculus	protein_coding_gene	MGI	
Vmn1r121	vomeronasal 1 receptor 121	Mus musculus	protein_coding_gene	MGI	Gm8533
Gm10248	predicted gene 10248	Mus musculus	lncRNA_gene	MGI	
Nudt13	nudix hydrolase 13	Mus musculus	protein_coding_gene	MGI	4933433B15Rik|nudix (nucleoside diphosphate linked moiety X)-type motif 13
Stx17	syntaxin 17	Mus musculus	protein_coding_gene	MGI	4833418L03Rik|6330411F21Rik|9030425C21Rik
Gm16188	predicted gene 16188	Mus musculus	lncRNA_gene	MGI	
Trav14d-3-dv8	T cell receptor alpha variable 14D-3-DV8	Mus musculus	gene_segment	MGI	
Gm16099	predicted gene 16099	Mus musculus	lncRNA_gene	MGI	
Gm49405	predicted gene, 49405	Mus musculus	protein_coding_gene	MGI	
Gm49403	predicted gene, 49403	Mus musculus	protein_coding_gene	MGI	
Gm16152	predicted gene 16152	Mus musculus	lncRNA_gene	MGI	
Gm16153	predicted gene 16153	Mus musculus	lncRNA_gene	MGI	
Gm16080	predicted gene 16080	Mus musculus	lncRNA_gene	MGI	
Gm15873	predicted gene 15873	Mus musculus	lncRNA_gene	MGI	
Gm15848	predicted gene 15848	Mus musculus	lncRNA_gene	MGI	
Gm16022	predicted gene 16022	Mus musculus	gene_product	MGI	
Gm15984	predicted gene 15984	Mus musculus	lncRNA_gene	MGI	
Ccl12	chemokine (C-C motif) ligand 12	Mus musculus	protein_coding_gene	MGI	MCP-5|Scya12
4930588J15Rik	RIKEN cDNA 4930588J15 gene	Mus musculus	lncRNA_gene	MGI	
Gm16008	predicted gene 16008	Mus musculus	lncRNA_gene	MGI	Gm10560
Gm15809	predicted gene 15809	Mus musculus	lncRNA_gene	MGI	
Gm15810	predicted gene 15810	Mus musculus	lncRNA_gene	MGI	
Gm16116	predicted gene 16116	Mus musculus	lncRNA_gene	MGI	
Nyx	nyctalopin	Mus musculus	protein_coding_gene	MGI	CLNP|CSNB1|CSNB4|nob
Ighv8-11	immunoglobulin heavy variable V8-11	Mus musculus	gene_segment	MGI	
Ripk1	receptor (TNFRSF)-interacting serine-threonine kinase 1	Mus musculus	protein_coding_gene	MGI	Rinp|Rip1
Gm16181	predicted gene 16181	Mus musculus	protein_coding_gene	MGI	
Gm15903	predicted gene 15903	Mus musculus	lncRNA_gene	MGI	
Gm15849	predicted gene 15849	Mus musculus	lncRNA_gene	MGI	
Gm14974	predicted gene 14974	Mus musculus	lncRNA_gene	MGI	
Gm5099	predicted gene 5099	Mus musculus	lncRNA_gene	MGI	
Pcbp2	poly(rC) binding protein 2	Mus musculus	protein_coding_gene	MGI	alphaCP-2|Hnrpx
Gm16059	predicted gene 16059	Mus musculus	lncRNA_gene	MGI	
Gm16058	predicted gene 16058	Mus musculus	lncRNA_gene	MGI	
Gm16193	predicted gene 16193	Mus musculus	lncRNA_gene	MGI	
Gm16192	predicted gene 16192	Mus musculus	lncRNA_gene	MGI	
Gm16230	predicted gene 16230	Mus musculus	lncRNA_gene	MGI	
Gm16229	predicted gene 16229	Mus musculus	lncRNA_gene	MGI	
Scgb2b15	secretoglobin, family 2B, member 15	Mus musculus	protein_coding_gene	MGI	Gm6504|Abpb15
Gm16078	predicted gene 16078	Mus musculus	gene_product	MGI	
Gm16079	predicted gene 16079	Mus musculus	lncRNA_gene	MGI	
Gm16145	predicted gene 16145	Mus musculus	lncRNA_gene	MGI	
Tnfsf18	tumor necrosis factor (ligand) superfamily, member 18	Mus musculus	protein_coding_gene	MGI	Gitrl|GITR ligand
Gm15879	predicted gene 15879	Mus musculus	lncRNA_gene	MGI	
Gm16169	predicted gene 16169	Mus musculus	lncRNA_gene	MGI	
Gm16168	predicted gene 16168	Mus musculus	lncRNA_gene	MGI	
Gm2415	predicted gene 2415	Mus musculus	lncRNA_gene	MGI	
