Gene / product (bioentity_label)	Gene / product (bioentity_name)	Organism (taxon_label)	Type	Source	Synonyms
Slc35a4	solute carrier family 35, member A4	Mus musculus	protein_coding_gene	MGI	2610030J16Rik
Nop9	NOP9 nucleolar protein	Mus musculus	protein_coding_gene	MGI	2610027L16Rik
Atg3	autophagy related 3	Mus musculus	protein_coding_gene	MGI	2610016C12Rik|APG3|Apg3l|PC3-96
Mrpl57	mitochondrial ribosomal protein L57	Mus musculus	protein_coding_gene	MGI	2610025P17Rik|Mrp63
Gm15093	predicted gene 15093	Mus musculus	protein_coding_gene	MGI	ENSMUSG00000072925
Plcd4	phospholipase C, delta 4	Mus musculus	protein_coding_gene	MGI	4921507K24Rik
Ppil2	peptidylprolyl isomerase (cyclophilin)-like 2	Mus musculus	protein_coding_gene	MGI	C130078A06Rik
Plcb2	phospholipase C, beta 2	Mus musculus	protein_coding_gene	MGI	B230205M18Rik
Plcb4	phospholipase C, beta 4	Mus musculus	protein_coding_gene	MGI	A930039J07Rik|C230058B11Rik
Csn3	casein kappa	Mus musculus	protein_coding_gene	MGI	CSN10|Csnk
Cox6b1	cytochrome c oxidase, subunit 6B1	Mus musculus	protein_coding_gene	MGI	2010000G05Rik
Gpsm1	G-protein signalling modulator 1 (AGS3-like, C. elegans)	Mus musculus	protein_coding_gene	MGI	1810037C22Rik|Ags3
Vps51	VPS51 GARP complex subunit	Mus musculus	protein_coding_gene	MGI	1110014N23Rik|3110057M17Rik
Ctnnbip1	catenin beta interacting protein 1	Mus musculus	protein_coding_gene	MGI	1110008O09Rik|2310001I19Rik|Catnbip1|ICAT
Wdr83	WD repeat domain containing 83	Mus musculus	protein_coding_gene	MGI	1500041N16Rik|Morg1
Idh3a	isocitrate dehydrogenase 3 (NAD+) alpha	Mus musculus	protein_coding_gene	MGI	1500012E04Rik
Brix1	BRX1, biogenesis of ribosomes	Mus musculus	protein_coding_gene	MGI	1110064N10Rik|Bxdc2
Lockd	lncRNA downstream of Cdkn1b	Mus musculus	lncRNA_gene	MGI	1190002F15Rik
Rer1	retention in endoplasmic reticulum sorting receptor 1	Mus musculus	protein_coding_gene	MGI	1110060F11Rik|5830454N22Rik
E130009M23Rik	RIKEN cDNA E130009M23 gene	Mus musculus	lncRNA_gene	MGI	
Cldn24	claudin 24	Mus musculus	protein_coding_gene	MGI	Gm10107
Mzf1	myeloid zinc finger 1	Mus musculus	protein_coding_gene	MGI	Mzf2|Zfp121|Zfp98|Znf42
Plcd3	phospholipase C, delta 3	Mus musculus	protein_coding_gene	MGI	2610205J15Rik
Dld	dihydrolipoamide dehydrogenase	Mus musculus	protein_coding_gene	MGI	branched chain alpha-keto acid dehydrogenase complex subunit E3|dihydrolipoyl dehydrogenase
Cstpp1	centriolar satellite-associated tubulin polyglutamylase complex regulator 1	Mus musculus	protein_coding_gene	MGI	1110051M20Rik
Myadml2	myeloid-associated differentiation marker-like 2	Mus musculus	protein_coding_gene	MGI	1110012N22Rik
Aldh6a1	aldehyde dehydrogenase family 6, subfamily A1	Mus musculus	protein_coding_gene	MGI	1110038I05Rik|Mmsdh
Snap47	synaptosomal-associated protein, 47	Mus musculus	protein_coding_gene	MGI	1110031B06Rik|SNAP-47
Nmral1	NmrA-like family domain containing 1	Mus musculus	protein_coding_gene	MGI	1110025F24Rik
Atp1b4	ATPase, (Na+)/K+ transporting, beta 4 polypeptide	Mus musculus	protein_coding_gene	MGI	1110020B02Rik
Tmed4	transmembrane p24 trafficking protein 4	Mus musculus	protein_coding_gene	MGI	1110014L17Rik
